1000:	6 	2 	2 	2 	0 	0 	1 	0 	1 	0 	1 	0 	1 	0 	1 	0 	1 	0 	0 	0 	среднее значение 0.9
2000:	2 	1 	2 	2 	1 	2 	1 	2 	2 	1 	2 	2 	1 	2 	2 	1 	2 	2 	1 	1 	среднее значение 1.6
4000:	6 	6 	6 	6 	6 	5 	5 	5 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	5 	среднее значение 5.8
8000:	24 	24 	24 	24 	24 	24 	25 	24 	24 	25 	24 	24 	25 	25 	25 	24 	23 	23 	23 	24 	среднее значение 24.1
16000:	95 	98 	98 	98 	101 	101 	98 	97 	93 	94 	94 	96 	94 	94 	94 	94 	93 	93 	92 	93 	среднее значение 95.5
32000:	376 	375 	375 	375 	382 	378 	376 	377 	375 	377 	378 	377 	394 	377 	410 	386 	380 	390 	379 	388 	среднее значение 381.25
64000:	1621 	1538 	1531 	1552 	1540 	1534 	1540 	1526 	1533 	1555 	1541 	1539 	1533 	1567 	1555 	1553 	1550 	1539 	1567 	1535 	среднее значение 1547.45
128000:	6316 	6446 	6323 	6296 	6283 	6307 	6380 	6359 	6312 	6321 	6275 	6322 	6391 	6429 	6329 	6292 	6305 	6288 	6287 	6426 	среднее значение 6334.35
